"","dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"31","Alex Hulley_SydneyTrackClassic2019","Alex Hulley","SydneyTrackClassic2019",1,"X",722,499,754,527,784,551,814,575,41.19,38.66,38.66,39.5,16.82,14.57,15.77,12.49,15.77,12.49,16.12,13.18,22.35,20.2,20.2,20.92,20.89,0.32,0.24,0.2,0.26,0.3,0.38,0.24,0.26,0.24,0.24,0.28,0.26,0.68,0.5,0.48,0.54,2.2,14,17,11,12,11,11,13,12,31,23,22,25
"32","Alex Hulley_SydneyTrackClassic2019","Alex Hulley","SydneyTrackClassic2019",2,"64.69",705,450,740,485,775,519,810,552,45,44.17,43.32,44.16,18.4,18.22,18.4,17.7,18.4,17.18,18.4,17.7,26.02,25.65,25.29,25.65,25.65,0.34,0.2,0.19,0.24,0.3,0.38,0.26,0.24,0.24,0.22,0.28,0.24,0.68,0.5,0.46,0.52,2.16,14,18,12,11,11,10,13,11,31,23,21,24
"33","Alex Hulley_SydneyTrackClassic2019","Alex Hulley","SydneyTrackClassic2019",3,"65.05",674,478,709,513,743,545,777,577,45,43.26,43.26,43.84,18.4,18.22,17.87,16.66,17.87,16.66,18.05,17.18,26.02,24.54,24.54,25.03,25.03,0.34,0.22,0.18,0.23,0.3,0.38,0.24,0.24,0.26,0.22,0.28,0.23,0.68,0.48,0.48,0.51,2.15,14,18,11,11,12,10,13,11,32,22,22,24
"34","Alex Hulley_SydneyTrackClassic2019","Alex Hulley","SydneyTrackClassic2019",4,"68.15",719,453,756,486,792,522,826,554,41.73,45,43.26,43.33,19.45,17.18,18.92,18.74,17.87,16.66,18.75,17.53,26.06,26.76,24.54,25.79,25.78,0.3,0.22,0.17,0.26,0.3,0.36,0.24,0.24,0.25,0.21,0.28,0.26,0.66,0.48,0.46,0.54,2.14,14,17,11,11,12,10,13,12,31,22,21,25
"35","Alex Hulley_SydneyTrackClassic2019","Alex Hulley","SydneyTrackClassic2019",5,"64.18",719,502,757,535,791,568,827,598,40.97,44.14,39.81,41.64,19.98,17.18,17.87,17.18,18.92,15.62,18.92,16.66,26.46,24.9,24.63,25.33,25.32,0.32,0.24,0.16,0.24,0.3,0.34,0.22,0.28,0.26,0.19,0.29,0.24,0.64,0.5,0.45,0.53,2.12,14,16,10,13,12,9,14,11,30,24,21,25
"36","Alex Hulley_SydneyTrackClassic2019","Alex Hulley","SydneyTrackClassic2019",6,"65.73",685,483,720,519,758,551,793,588,45.81,40.1,46.59,44.17,18.4,18.74,19.98,16.66,18.4,19.26,18.93,18.22,26.4,26.12,26.77,26.43,26.39,0.3,0.24,0.16,0.27,0.3,0.32,0.24,0.27,0.27,0.2,0.26,0.27,0.62,0.51,0.47,0.53,2.13,14,15,11,13,13,9,12,13,29,24,22,25
"37","Alex Hulley_SydneyTrackClassic2020","Alex Hulley","SydneyTrackClassic2020",1,"X",1029,708,1087,766,1144,822,1199,876,45,44.49,44.47,44.65,18.46,NA,18.14,NA,17.51,NA,18.04,NA,26.11,25.43,24.54,25.36,25.36,0.3,0.22,0.17,0.28,0.3,0.38,0.22,0.25,0.25,0.23,0.24,0.28,0.68,0.47,0.48,0.52,2.15,14,18,10,12,12,11,11,13,32,22,22,24
"38","Alex Hulley_SydneyTrackClassic2020","Alex Hulley","SydneyTrackClassic2020",2,"X",950,695,1009,754,1063,806,1116,863,45,43.92,47.08,45.33,18.78,NA,17.19,NA,16.87,NA,17.61,NA,26.56,23.86,24.77,25.06,25.05,0.31,0.22,0.17,0.26,0.28,0.41,0.2,0.29,0.21,0.22,0.27,0.26,0.69,0.49,0.43,0.53,2.14,13,19,9,14,10,10,13,12,32,23,20,25
"39","Alex Hulley_SydneyTrackClassic2020","Alex Hulley","SydneyTrackClassic2020",3,"67.13",1008,769,1067,825,1124,884,1179,939,43.51,45.99,45,44.83,18.78,NA,18.14,NA,17.51,NA,18.14,NA,25.89,26.11,24.76,25.59,25.58,0.31,0.18,0.16,0.25,0.35,0.37,0.25,0.27,0.23,0.23,0.25,0.25,0.72,0.52,0.46,0.5,2.2,16,17,11,12,10,10,11,11,33,24,21,23
"40","Alex Hulley_SydneyTrackClassic2020","Alex Hulley","SydneyTrackClassic2020",4,"68.48",1039,801,1097,856,1155,909,1215,965,43.48,42.42,43.03,42.98,18.46,NA,18.46,NA,19.1,NA,18.67,NA,25.44,25.01,26.13,25.53,25.52,0.31,0.25,0.18,0.27,0.33,0.38,0.22,0.29,0.22,0.23,0.24,0.27,0.71,0.51,0.45,0.51,2.18,15,17,10,13,10,11,11,12,33,23,21,23
