Comp,Sydney National Championships - Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,6th April 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Louise Mendes,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,,,,
,,46.18,,49.07,,48.62,,X,,49.46,,X,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
Turn 4,Single (s),0.26,,0.22,,0.28,,0.28,,0.24,,0.24,,,0,,,,,,,,,,,,,,,,
,Double (s),0.28,,0.32,,0.29,,0.32,,0.32,,0.3,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.78,,0.80,,0.82,,0.80,,0.80,,0.78,,,0.00,,,,,,,,,,,,,,,,
Turn 2,,0.59,,0.60,,0.62,,0.54,,0.58,,0.58,,,0.00,,,,,,,,,,,,,,,,
Turn 3,,0.51,,0.54,,0.50,,0.52,,0.50,,0.54,,,0.00,,,,,,,,,,,,,,,,
Turn 4,,0.54,,0.54,,0.57,,0.60,,0.56,,0.54,,,0.00,,,,,,,,,,,,,,,,
Total throw time,,2.42,,2.48,,2.51,,2.46,,2.44,,2.44,,,0.00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
